date,market,commodity,demand_units,stock_level,stock_received,unit_cost_ngn,lead_time_days,seasonal_factor,festive_factor,supply_shock
2022-01-02,Lagos,Rice (50kg bag),645,1515,0,42000,7,0.85,1.6,1.0
2022-01-09,Lagos,Rice (50kg bag),457,1058,0,42000,7,0.85,1.0,1.0
2022-01-16,Lagos,Rice (50kg bag),490,568,0,42000,7,0.85,1.0,1.0
2022-01-23,Lagos,Rice (50kg bag),399,1366,1197,42000,7,0.85,1.0,1.0
2022-01-30,Lagos,Rice (50kg bag),560,806,0,42000,7,0.85,1.1,1.0
2022-02-06,Lagos,Rice (50kg bag),425,1656,1275,42000,7,0.85,1.0,1.0
2022-02-13,Lagos,Rice (50kg bag),427,1229,0,42000,7,0.85,1.0,1.0
2022-02-20,Lagos,Rice (50kg bag),481,748,0,42000,7,0.85,1.0,1.0
2022-02-27,Lagos,Rice (50kg bag),463,979,694,42000,7,0.85,1.1,0.5
2022-03-06,Lagos,Rice (50kg bag),589,2157,1767,42000,7,1.0,1.0,1.0
2022-03-13,Lagos,Rice (50kg bag),499,1658,0,42000,7,1.0,1.0,1.0
2022-03-20,Lagos,Rice (50kg bag),588,1070,0,42000,7,1.0,1.25,1.0
2022-03-27,Lagos,Rice (50kg bag),791,2652,2373,42000,7,1.0,1.25,1.0
2022-04-03,Lagos,Rice (50kg bag),614,2038,0,42000,7,1.1,1.25,1.0
2022-04-10,Lagos,Rice (50kg bag),727,1311,0,42000,7,1.1,1.3,1.0
2022-04-17,Lagos,Rice (50kg bag),849,3009,2547,42000,7,1.1,1.3,1.0
2022-04-24,Lagos,Rice (50kg bag),647,2362,0,42000,7,1.1,1.0,1.0
2022-05-01,Lagos,Rice (50kg bag),652,1710,0,42000,7,1.1,1.0,1.0
2022-05-08,Lagos,Rice (50kg bag),626,1084,0,42000,7,1.1,1.0,1.0
2022-05-15,Lagos,Rice (50kg bag),430,654,0,42000,7,1.1,1.0,1.0
2022-05-22,Lagos,Rice (50kg bag),571,1796,1713,42000,7,1.1,1.0,1.0
2022-05-29,Lagos,Rice (50kg bag),668,1128,0,42000,7,1.1,1.1,0.75
2022-06-05,Lagos,Rice (50kg bag),635,2398,1905,42000,7,1.1,1.0,1.0
2022-06-12,Lagos,Rice (50kg bag),549,1849,0,42000,7,1.1,1.0,1.0
2022-06-19,Lagos,Rice (50kg bag),946,3741,2838,42000,7,1.1,1.35,1.0
2022-06-26,Lagos,Rice (50kg bag),580,3161,0,42000,7,1.1,1.0,1.0
2022-07-03,Lagos,Rice (50kg bag),551,2610,0,42000,7,1.1,1.0,1.0
2022-07-10,Lagos,Rice (50kg bag),626,1984,0,42000,7,1.1,1.0,1.0
2022-07-17,Lagos,Rice (50kg bag),714,1270,0,42000,7,1.1,1.0,1.0
2022-07-24,Lagos,Rice (50kg bag),601,669,0,42000,7,1.1,1.0,1.0
2022-07-31,Lagos,Rice (50kg bag),634,1937,1902,42000,7,1.1,1.1,1.0
2022-08-07,Lagos,Rice (50kg bag),552,1385,0,42000,7,1.1,1.0,1.0
